ruta,viaje_id,fase,turno,is_single
1Q,0,0,1,0
1Q,29,0,1,0
1Q,55,1,1,0
1Q,81,1,1,0
1Q,107,2,2,0
1Q,133,2,2,0
1Q,163,3,2,0
1Q,185,3,2,0
2Q,1,0,1,0
2Q,13,0,1,0
2Q,30,0,1,0
2Q,56,1,1,0
2Q,82,1,1,0
2Q,108,2,2,0
2Q,134,2,2,0
2Q,164,3,2,0
2Q,186,3,2,0
3Q,2,0,1,0
3Q,31,0,1,0
3Q,57,1,1,0
3Q,83,1,1,0
3Q,109,2,2,0
3Q,135,2,2,0
3Q,166,3,2,0
3Q,187,3,2,0
4Q,3,0,1,0
4Q,32,0,1,0
4Q,58,1,1,0
4Q,84,1,1,0
4Q,110,2,2,0
4Q,136,2,2,0
4Q,167,3,2,0
4Q,188,3,2,0
5Q,4,0,1,0
5Q,16,0,1,0
5Q,33,0,1,0
5Q,59,1,1,0
5Q,85,1,1,0
5Q,111,2,2,0
5Q,137,2,2,0
5Q,169,3,2,0
5Q,189,3,2,0
6Q,5,0,1,0
6Q,34,0,1,0
6Q,60,1,1,0
6Q,86,1,1,0
6Q,112,2,2,0
6Q,138,2,2,0
6Q,170,3,2,0
6Q,190,3,2,0
7Q,6,0,1,0
7Q,35,0,1,0
7Q,61,1,1,0
7Q,87,1,1,0
7Q,113,2,2,0
7Q,139,2,2,0
7Q,172,3,2,0
7Q,191,3,2,0
8Q,7,0,1,0
8Q,19,0,1,0
8Q,36,0,1,0
8Q,62,1,1,0
8Q,88,1,1,0
8Q,114,2,2,0
8Q,140,2,2,0
8Q,173,3,2,0
8Q,192,3,2,0
9Q,8,0,1,0
9Q,37,0,1,0
9Q,63,1,1,0
9Q,89,2,2,0
9Q,115,3,2,0
9Q,141,3,2,0
10Q,9,0,1,0
10Q,38,0,1,0
10Q,64,1,1,0
10Q,90,2,2,0
10Q,116,3,2,0
10Q,142,3,2,0
10Q,153,3,2,0
10Q,168,3,2,0
11Q,10,0,1,0
11Q,39,0,1,0
11Q,65,1,1,0
11Q,91,2,2,0
11Q,117,3,2,0
11Q,143,3,2,0
12Q,11,0,1,0
12Q,40,0,1,0
12Q,66,1,1,0
12Q,92,2,2,0
12Q,118,3,2,0
12Q,144,3,2,0
12Q,156,3,2,0
12Q,171,3,2,0
13Q,12,0,1,0
13Q,41,0,1,0
13Q,67,1,1,0
13Q,93,2,2,0
13Q,119,3,2,0
13Q,145,3,2,0
14Q,14,0,1,0
14Q,42,0,1,0
14Q,68,1,1,0
14Q,94,2,2,0
14Q,120,3,2,0
14Q,146,3,2,0
14Q,159,3,2,0
14Q,174,3,2,0
15Q,15,0,1,0
15Q,43,0,1,0
15Q,69,1,1,0
15Q,95,2,2,0
15Q,121,3,2,0
15Q,147,3,2,0
16Q,17,0,1,0
16Q,44,0,1,0
16Q,70,1,1,0
16Q,96,2,2,0
16Q,122,3,2,0
16Q,148,3,2,0
16Q,162,3,2,0
16Q,175,3,2,0
17Q,18,0,1,0
17Q,45,0,1,0
17Q,71,1,1,0
17Q,97,2,2,0
17Q,123,3,2,0
17Q,149,3,2,0
18Q,20,0,1,0
18Q,46,0,1,0
18Q,72,1,1,0
18Q,98,2,2,0
18Q,124,3,2,0
18Q,150,3,2,0
18Q,165,3,2,0
18Q,176,3,2,0
19Q,21,0,1,0
19Q,47,0,1,0
19Q,73,1,1,0
19Q,99,2,2,0
19Q,125,3,2,0
19Q,151,3,2,0
19Q,177,3,2,0
20Q,22,0,1,0
20Q,48,0,1,0
20Q,74,1,1,0
20Q,100,2,2,0
20Q,126,3,2,0
20Q,152,3,2,0
20Q,178,3,2,0
21Q,23,0,1,0
21Q,49,0,1,0
21Q,75,1,1,0
21Q,101,2,2,0
21Q,127,3,2,0
21Q,154,3,2,0
21Q,179,3,2,0
22Q,24,0,1,0
22Q,50,0,1,0
22Q,76,1,1,0
22Q,102,2,2,0
22Q,128,3,2,0
22Q,155,3,2,0
22Q,180,3,2,0
23Q,25,0,1,0
23Q,51,0,1,0
23Q,77,1,1,0
23Q,103,2,2,0
23Q,129,3,2,0
23Q,157,3,2,0
23Q,181,3,2,0
24Q,26,0,1,0
24Q,52,0,1,0
24Q,78,1,1,0
24Q,104,2,2,0
24Q,130,3,2,0
24Q,158,3,2,0
24Q,182,3,2,0
25Q,27,0,1,0
25Q,53,0,1,0
25Q,79,1,1,0
25Q,105,2,2,0
25Q,131,2,2,0
25Q,160,3,2,0
25Q,183,3,2,0
26Q,28,0,1,0
26Q,54,0,1,0
26Q,80,1,1,0
26Q,106,2,2,0
26Q,132,2,2,0
26Q,161,3,2,0
26Q,184,3,2,0
