ruta,viaje_id,fase,turno,is_single
1R,0,0,1,0
1R,34,0,1,0
1R,89,0,1,0
1R,144,0,1,0
1R,190,0,1,0
1R,260,1,1,0
1R,308,1,1,0
1R,360,1,1,0
1R,491,2,2,0
1R,554,3,2,0
1R,592,3,2,0
1R,652,3,2,0
1R,703,3,2,0
1R,760,3,2,0
1R,805,3,2,0
1R,837,3,2,0
2R,2,0,1,0
2R,36,0,1,0
2R,91,0,1,0
2R,147,0,1,0
2R,193,0,1,0
2R,262,1,1,0
2R,311,1,1,0
2R,362,1,1,0
2R,493,2,2,0
2R,557,3,2,0
2R,594,3,2,0
2R,654,3,2,0
2R,706,3,2,0
2R,762,3,2,0
2R,807,3,2,0
2R,839,3,2,0
3R,4,0,1,0
3R,38,0,1,0
3R,94,0,1,0
3R,149,0,1,0
3R,195,0,1,0
3R,264,1,1,0
3R,313,1,1,0
3R,366,1,1,0
3R,501,2,2,0
3R,565,3,2,0
3R,603,3,2,0
3R,661,3,2,0
3R,712,3,2,0
3R,770,3,2,0
3R,816,3,2,0
3R,841,3,2,0
4R,6,0,1,0
4R,45,0,1,0
4R,101,0,1,0
4R,160,0,1,0
4R,203,0,1,0
4R,273,1,1,0
4R,323,1,1,0
4R,374,1,1,0
4R,503,2,2,0
4R,568,3,2,0
4R,607,3,2,0
4R,662,3,2,0
4R,713,3,2,0
4R,772,3,2,0
4R,818,3,2,0
4R,843,3,2,0
5R,8,0,1,0
5R,48,0,1,0
5R,103,0,1,0
5R,165,0,1,0
5R,205,0,1,0
5R,276,1,1,0
5R,325,1,1,0
5R,378,1,1,0
5R,508,2,2,0
5R,575,3,2,0
5R,614,3,2,0
5R,667,3,2,0
5R,719,3,2,0
5R,780,3,2,0
5R,822,3,2,0
5R,845,3,2,0
6R,10,0,1,0
6R,50,0,1,0
6R,105,0,1,0
6R,168,0,1,0
6R,208,0,1,0
6R,279,1,1,0
6R,328,1,1,0
6R,380,1,1,0
6R,510,2,2,0
6R,578,3,2,0
6R,617,3,2,0
6R,670,3,2,0
6R,722,3,2,0
6R,782,3,2,0
6R,825,3,2,0
6R,847,3,2,0
7R,12,0,1,0
7R,56,0,1,0
7R,111,0,1,0
7R,176,0,1,0
7R,214,0,1,0
7R,285,1,1,0
7R,334,1,1,0
7R,385,1,1,0
7R,427,2,2,0
7R,468,2,2,0
7R,515,2,2,0
7R,582,3,2,0
7R,622,3,2,0
7R,675,3,2,0
7R,726,3,2,0
7R,786,3,2,0
8R,15,0,1,0
8R,60,0,1,0
8R,113,0,1,0
8R,179,0,1,0
8R,216,0,1,0
8R,288,1,1,0
8R,337,1,1,0
8R,390,1,1,0
8R,430,2,2,0
8R,470,2,2,0
8R,517,2,2,0
8R,584,3,2,0
8R,624,3,2,0
8R,676,3,2,0
8R,729,3,2,0
8R,789,3,2,0
9R,17,0,1,0
9R,62,0,1,0
9R,116,0,1,0
9R,183,0,1,0
9R,220,0,1,0
9R,291,1,1,0
9R,340,1,1,0
9R,392,1,1,0
9R,434,2,2,0
9R,474,2,2,0
9R,519,2,2,0
9R,587,3,2,0
9R,627,3,2,0
9R,678,3,2,0
9R,731,3,2,0
9R,792,3,2,0
10R,19,0,1,0
10R,65,0,1,0
10R,120,0,1,0
10R,187,0,1,0
10R,223,0,1,0
10R,293,1,1,0
10R,342,1,1,0
10R,395,1,1,0
10R,437,2,2,0
10R,478,2,2,0
10R,522,2,2,0
10R,589,3,2,0
10R,629,3,2,0
10R,682,3,2,0
10R,734,3,2,0
10R,794,3,2,0
11R,21,0,1,0
11R,67,0,1,0
11R,123,0,1,0
11R,189,0,1,0
11R,225,0,1,0
11R,296,1,1,0
11R,346,1,1,0
11R,398,1,1,0
11R,440,2,2,0
11R,481,2,2,0
11R,524,2,2,0
11R,591,3,2,0
11R,633,3,2,0
11R,685,3,2,0
11R,736,3,2,0
11R,796,3,2,0
12R,24,0,1,0
12R,72,0,1,0
12R,125,0,1,0
12R,192,0,1,0
12R,229,0,1,0
12R,298,1,1,0
12R,348,1,1,0
12R,400,1,1,0
12R,443,2,2,0
12R,483,2,2,0
12R,527,2,2,0
12R,593,3,2,0
12R,635,3,2,0
12R,687,3,2,0
12R,739,3,2,0
12R,798,3,2,0
13R,26,0,1,0
13R,74,0,1,0
13R,128,0,1,0
13R,196,0,1,0
13R,233,0,1,0
13R,301,1,1,0
13R,352,1,1,0
13R,403,1,1,0
13R,445,2,2,0
13R,485,2,2,0
13R,529,2,2,0
13R,595,3,2,0
13R,639,3,2,0
13R,690,3,2,0
13R,741,3,2,0
13R,801,3,2,0
14R,28,0,1,0
14R,77,0,1,0
14R,132,0,1,0
14R,198,0,1,0
14R,236,0,1,0
14R,303,1,1,0
14R,354,1,1,0
14R,405,1,1,0
14R,447,2,2,0
14R,488,2,2,0
14R,531,2,2,0
14R,598,3,2,0
14R,641,3,2,0
14R,693,3,2,0
14R,744,3,2,0
14R,815,3,2,0
15R,30,0,1,0
15R,79,0,1,0
15R,135,0,1,0
15R,201,1,1,0
15R,240,1,1,0
15R,304,1,1,0
15R,356,1,1,0
15R,408,1,1,0
15R,450,2,2,0
15R,490,2,2,0
15R,534,2,2,0
15R,600,3,2,0
15R,644,3,2,0
15R,697,3,2,0
15R,746,3,2,0
15R,817,3,2,0
16R,40,0,1,0
16R,90,0,1,0
16R,145,0,1,0
16R,212,1,1,0
16R,252,1,1,0
16R,312,1,1,0
16R,364,1,1,0
16R,410,1,1,0
16R,452,2,2,0
16R,492,2,2,0
16R,536,2,2,0
16R,602,3,2,0
16R,647,3,2,0
16R,699,3,2,0
16R,749,3,2,0
16R,819,3,2,0
17R,42,0,1,0
17R,93,0,1,0
17R,146,0,1,0
17R,213,1,1,0
17R,255,1,1,0
17R,315,1,1,0
17R,367,1,1,0
17R,412,1,1,0
17R,455,2,2,0
17R,494,2,2,0
17R,538,2,2,0
17R,604,3,2,0
17R,651,3,2,0
17R,702,3,2,0
17R,751,3,2,0
17R,821,3,2,0
18R,49,0,1,0
18R,100,0,1,0
18R,153,0,1,0
18R,221,1,1,0
18R,263,1,1,0
18R,320,1,1,0
18R,372,1,1,0
18R,416,1,1,0
18R,457,2,2,0
18R,497,2,2,0
18R,540,2,2,0
18R,606,3,2,0
18R,653,3,2,0
18R,705,3,2,0
18R,753,3,2,0
18R,823,3,2,0
19R,51,0,1,0
19R,102,0,1,0
19R,155,0,1,0
19R,222,1,1,0
19R,265,1,1,0
19R,322,1,1,0
19R,375,1,1,0
19R,418,1,1,0
19R,458,2,2,0
19R,505,2,2,0
19R,547,2,2,0
19R,613,3,2,0
19R,663,3,2,0
19R,714,3,2,0
19R,761,3,2,0
19R,824,3,2,0
20R,52,0,1,0
20R,104,0,1,0
20R,156,0,1,0
20R,224,1,1,0
20R,269,1,1,0
20R,324,1,1,0
20R,377,1,1,0
20R,420,1,1,0
20R,461,2,2,0
20R,507,2,2,0
20R,549,2,2,0
20R,616,3,2,0
20R,665,3,2,0
20R,717,3,2,0
20R,763,3,2,0
20R,826,3,2,0
21R,59,0,1,0
21R,112,0,1,0
21R,161,0,1,0
21R,231,1,1,0
21R,274,1,1,0
21R,330,1,1,0
21R,382,1,1,0
21R,426,1,1,0
21R,467,2,2,0
21R,523,2,2,0
21R,562,2,2,0
21R,631,3,2,0
21R,681,3,2,0
21R,733,3,2,0
21R,779,3,2,0
21R,827,3,2,0
22R,61,0,1,0
22R,114,0,1,0
22R,164,0,1,0
22R,232,1,1,0
22R,275,1,1,0
22R,332,1,1,0
22R,384,1,1,0
22R,428,1,1,0
22R,469,2,2,0
22R,526,2,2,0
22R,564,2,2,0
22R,632,3,2,0
22R,684,3,2,0
22R,735,3,2,0
22R,781,3,2,0
22R,830,3,2,0
23R,63,0,1,0
23R,115,0,1,0
23R,166,0,1,0
23R,234,1,1,0
